Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Status
light-curtain-23mm-300mm,"Safety Light Curtain — 23mm Hand Detection, 300mm Protected Height","
    <h3>Type 4 / Category 4 light curtain — hand-detection resolution.</h3>
    <p>Compact 300mm protected height for smaller danger zones — robotic cells, packaging machines, presses with narrow access windows.</p>
    <h4>Specifications</h4>
    <ul>
      <li><strong>Resolution:</strong> 23mm — detects hands and larger</li>
      <li><strong>Protected height:</strong> 300mm</li>
      <li><strong>Safety category:</strong> Type 4 / PLe / SIL 3</li>
      <li><strong>Operating range:</strong> Up to 12m (40 ft)</li>
      <li><strong>Response time:</strong> ≤20 ms</li>
      <li><strong>Housing:</strong> Aluminum, IP65/IP67</li>
      <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13849-1 PLe</li>
      <li><strong>Brand:</strong> Banner Engineering, OMRON/STI, or equivalent (we'll source the best fit for your application)</li>
    </ul>
    <p><strong>Sizing the right light curtain matters.</strong> The protected height should be selected based on the danger zone and ANSI B11 / OSHA safety-distance calculations. <strong>Call us at (281) 265-2832</strong> before ordering if you're unsure — we'll size it right the first time.</p>
    <p><em>Mounting brackets and cables sold separately. Mirror accessories available for L-shaped or U-shaped protection — contact us.</em></p>
    ",Banner Engineering,,Light Curtain,"Light Curtains, Safety Light Curtain, LC-23-300, Banner, OMRON",TRUE,Title,Default Title,,,,,LC-23-300,2500,shopify,0,continue,manual,1495.00,,TRUE,TRUE,,,,,FALSE,"Safety Light Curtain — 23mm Hand Detection, 300mm Protected Height | Guardomation","23mm hand-detection light curtain with 300mm protected height. Type 4 / PLe / SIL 3 compliant. From Banner, OMRON/STI, or equivalent — sized and installed by Guardomation.",,active
light-curtain-23mm-600mm,"Safety Light Curtain — 23mm Hand Detection, 600mm Protected Height","
    <h3>Type 4 / Category 4 light curtain — hand-detection resolution.</h3>
    <p>600mm protected height — the most common size for press brakes, robotic cells, and machine tending applications.</p>
    <h4>Specifications</h4>
    <ul>
      <li><strong>Resolution:</strong> 23mm — detects hands and larger</li>
      <li><strong>Protected height:</strong> 600mm</li>
      <li><strong>Safety category:</strong> Type 4 / PLe / SIL 3</li>
      <li><strong>Operating range:</strong> Up to 12m (40 ft)</li>
      <li><strong>Response time:</strong> ≤20 ms</li>
      <li><strong>Housing:</strong> Aluminum, IP65/IP67</li>
      <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13849-1 PLe</li>
      <li><strong>Brand:</strong> Banner Engineering, OMRON/STI, or equivalent (we'll source the best fit for your application)</li>
    </ul>
    <p><strong>Sizing the right light curtain matters.</strong> The protected height should be selected based on the danger zone and ANSI B11 / OSHA safety-distance calculations. <strong>Call us at (281) 265-2832</strong> before ordering if you're unsure — we'll size it right the first time.</p>
    <p><em>Mounting brackets and cables sold separately. Mirror accessories available for L-shaped or U-shaped protection — contact us.</em></p>
    ",Banner Engineering,,Light Curtain,"Light Curtains, Safety Light Curtain, LC-23-600, Banner, OMRON",TRUE,Title,Default Title,,,,,LC-23-600,3500,shopify,0,continue,manual,1795.00,,TRUE,TRUE,,,,,FALSE,"Safety Light Curtain — 23mm Hand Detection, 600mm Protected Height | Guardomation","23mm hand-detection light curtain with 600mm protected height. Type 4 / PLe / SIL 3 compliant. From Banner, OMRON/STI, or equivalent — sized and installed by Guardomation.",,active
light-curtain-23mm-900mm,"Safety Light Curtain — 23mm Hand Detection, 900mm Protected Height","
    <h3>Type 4 / Category 4 light curtain — hand-detection resolution.</h3>
    <p>900mm protected height for larger access zones — robotic welding cells, conveyor in/feed protection, larger presses.</p>
    <h4>Specifications</h4>
    <ul>
      <li><strong>Resolution:</strong> 23mm — detects hands and larger</li>
      <li><strong>Protected height:</strong> 900mm</li>
      <li><strong>Safety category:</strong> Type 4 / PLe / SIL 3</li>
      <li><strong>Operating range:</strong> Up to 12m (40 ft)</li>
      <li><strong>Response time:</strong> ≤20 ms</li>
      <li><strong>Housing:</strong> Aluminum, IP65/IP67</li>
      <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13849-1 PLe</li>
      <li><strong>Brand:</strong> Banner Engineering, OMRON/STI, or equivalent (we'll source the best fit for your application)</li>
    </ul>
    <p><strong>Sizing the right light curtain matters.</strong> The protected height should be selected based on the danger zone and ANSI B11 / OSHA safety-distance calculations. <strong>Call us at (281) 265-2832</strong> before ordering if you're unsure — we'll size it right the first time.</p>
    <p><em>Mounting brackets and cables sold separately. Mirror accessories available for L-shaped or U-shaped protection — contact us.</em></p>
    ",Banner Engineering,,Light Curtain,"Light Curtains, Safety Light Curtain, LC-23-900, Banner, OMRON",TRUE,Title,Default Title,,,,,LC-23-900,4500,shopify,0,continue,manual,2295.00,,TRUE,TRUE,,,,,FALSE,"Safety Light Curtain — 23mm Hand Detection, 900mm Protected Height | Guardomation","23mm hand-detection light curtain with 900mm protected height. Type 4 / PLe / SIL 3 compliant. From Banner, OMRON/STI, or equivalent — sized and installed by Guardomation.",,active
light-curtain-23mm-1200mm,"Safety Light Curtain — 23mm Hand Detection, 1200mm Protected Height","
    <h3>Type 4 / Category 4 light curtain — hand-detection resolution.</h3>
    <p>Tall 1200mm protected height for whole-body access protection — perimeter zones, large robot cells, full-height enclosures.</p>
    <h4>Specifications</h4>
    <ul>
      <li><strong>Resolution:</strong> 23mm — detects hands and larger</li>
      <li><strong>Protected height:</strong> 1200mm</li>
      <li><strong>Safety category:</strong> Type 4 / PLe / SIL 3</li>
      <li><strong>Operating range:</strong> Up to 12m (40 ft)</li>
      <li><strong>Response time:</strong> ≤20 ms</li>
      <li><strong>Housing:</strong> Aluminum, IP65/IP67</li>
      <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13849-1 PLe</li>
      <li><strong>Brand:</strong> Banner Engineering, OMRON/STI, or equivalent (we'll source the best fit for your application)</li>
    </ul>
    <p><strong>Sizing the right light curtain matters.</strong> The protected height should be selected based on the danger zone and ANSI B11 / OSHA safety-distance calculations. <strong>Call us at (281) 265-2832</strong> before ordering if you're unsure — we'll size it right the first time.</p>
    <p><em>Mounting brackets and cables sold separately. Mirror accessories available for L-shaped or U-shaped protection — contact us.</em></p>
    ",Banner Engineering,,Light Curtain,"Light Curtains, Safety Light Curtain, LC-23-1200, Banner, OMRON",TRUE,Title,Default Title,,,,,LC-23-1200,5500,shopify,0,continue,manual,2895.00,,TRUE,TRUE,,,,,FALSE,"Safety Light Curtain — 23mm Hand Detection, 1200mm Protected Height | Guardomation","23mm hand-detection light curtain with 1200mm protected height. Type 4 / PLe / SIL 3 compliant. From Banner, OMRON/STI, or equivalent — sized and installed by Guardomation.",,active
safety-mat-24x24,"Pressure-Sensitive Safety Mat — 24"" × 24""","
<h3>Pressure-sensitive safety mat — fixed published sizing.</h3>
<p>Detects operator presence in the danger zone. Pressure on the mat surface triggers an immediate machine stop signal. Used for robot cell perimeters, press operator stations, conveyor in/feed zones, and machine access points.</p>
<h4>Specifications</h4>
<ul>
  <li><strong>Active area:</strong> 24"" × 24""</li>
  <li><strong>Activation force:</strong> ~70 lbs (typical adult step)</li>
  <li><strong>Operating voltage:</strong> 24 VDC (via zone controller)</li>
  <li><strong>Cable:</strong> 20-ft 4-wire cord included</li>
  <li><strong>Surface:</strong> Slip-resistant, oil/coolant-resistant compound</li>
  <li><strong>Edging:</strong> Standard yellow ramp edges (4 sides)</li>
  <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13856-1</li>
</ul>
<h4>Required accessories</h4>
<p>Requires a <strong>safety mat zone controller</strong> for use. Single-mat controllers and multi-zone controllers (1-4 and 1-8 mat) available — <a href=""/contact"">contact us</a> to bundle with your order. Junction boxes also available for installations of 2-10 mats.</p>
<p><em>Custom sizes available on request — we publish these 12 as our stocked sizes for fast fulfillment.</em></p>
",Ferndale,,Safety Mat,"Safety Mats, SM-24x24, Ferndale, Pressure Mat",TRUE,Title,Default Title,,,,,SM-24x24,5500,shopify,0,continue,manual,595.00,,TRUE,TRUE,,,,,FALSE,"Pressure-Sensitive Safety Mat — 24"" × 24"" | Guardomation","24"" × 24"" pressure-sensitive safety mat for robot cells, presses, and access points. ANSI B11.19 / ISO 13856-1 compliant. Stocked size, ships from Guardomation.",,active
safety-mat-24x36,"Pressure-Sensitive Safety Mat — 24"" × 36""","
<h3>Pressure-sensitive safety mat — fixed published sizing.</h3>
<p>Detects operator presence in the danger zone. Pressure on the mat surface triggers an immediate machine stop signal. Used for robot cell perimeters, press operator stations, conveyor in/feed zones, and machine access points.</p>
<h4>Specifications</h4>
<ul>
  <li><strong>Active area:</strong> 24"" × 36""</li>
  <li><strong>Activation force:</strong> ~70 lbs (typical adult step)</li>
  <li><strong>Operating voltage:</strong> 24 VDC (via zone controller)</li>
  <li><strong>Cable:</strong> 20-ft 4-wire cord included</li>
  <li><strong>Surface:</strong> Slip-resistant, oil/coolant-resistant compound</li>
  <li><strong>Edging:</strong> Standard yellow ramp edges (4 sides)</li>
  <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13856-1</li>
</ul>
<h4>Required accessories</h4>
<p>Requires a <strong>safety mat zone controller</strong> for use. Single-mat controllers and multi-zone controllers (1-4 and 1-8 mat) available — <a href=""/contact"">contact us</a> to bundle with your order. Junction boxes also available for installations of 2-10 mats.</p>
<p><em>Custom sizes available on request — we publish these 12 as our stocked sizes for fast fulfillment.</em></p>
",Ferndale,,Safety Mat,"Safety Mats, SM-24x36, Ferndale, Pressure Mat",TRUE,Title,Default Title,,,,,SM-24x36,7000,shopify,0,continue,manual,695.00,,TRUE,TRUE,,,,,FALSE,"Pressure-Sensitive Safety Mat — 24"" × 36"" | Guardomation","24"" × 36"" pressure-sensitive safety mat for robot cells, presses, and access points. ANSI B11.19 / ISO 13856-1 compliant. Stocked size, ships from Guardomation.",,active
safety-mat-24x48,"Pressure-Sensitive Safety Mat — 24"" × 48""","
<h3>Pressure-sensitive safety mat — fixed published sizing.</h3>
<p>Detects operator presence in the danger zone. Pressure on the mat surface triggers an immediate machine stop signal. Used for robot cell perimeters, press operator stations, conveyor in/feed zones, and machine access points.</p>
<h4>Specifications</h4>
<ul>
  <li><strong>Active area:</strong> 24"" × 48""</li>
  <li><strong>Activation force:</strong> ~70 lbs (typical adult step)</li>
  <li><strong>Operating voltage:</strong> 24 VDC (via zone controller)</li>
  <li><strong>Cable:</strong> 20-ft 4-wire cord included</li>
  <li><strong>Surface:</strong> Slip-resistant, oil/coolant-resistant compound</li>
  <li><strong>Edging:</strong> Standard yellow ramp edges (4 sides)</li>
  <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13856-1</li>
</ul>
<h4>Required accessories</h4>
<p>Requires a <strong>safety mat zone controller</strong> for use. Single-mat controllers and multi-zone controllers (1-4 and 1-8 mat) available — <a href=""/contact"">contact us</a> to bundle with your order. Junction boxes also available for installations of 2-10 mats.</p>
<p><em>Custom sizes available on request — we publish these 12 as our stocked sizes for fast fulfillment.</em></p>
",Ferndale,,Safety Mat,"Safety Mats, SM-24x48, Ferndale, Pressure Mat",TRUE,Title,Default Title,,,,,SM-24x48,9000,shopify,0,continue,manual,795.00,,TRUE,TRUE,,,,,FALSE,"Pressure-Sensitive Safety Mat — 24"" × 48"" | Guardomation","24"" × 48"" pressure-sensitive safety mat for robot cells, presses, and access points. ANSI B11.19 / ISO 13856-1 compliant. Stocked size, ships from Guardomation.",,active
safety-mat-30x48,"Pressure-Sensitive Safety Mat — 30"" × 48""","
<h3>Pressure-sensitive safety mat — fixed published sizing.</h3>
<p>Detects operator presence in the danger zone. Pressure on the mat surface triggers an immediate machine stop signal. Used for robot cell perimeters, press operator stations, conveyor in/feed zones, and machine access points.</p>
<h4>Specifications</h4>
<ul>
  <li><strong>Active area:</strong> 30"" × 48""</li>
  <li><strong>Activation force:</strong> ~70 lbs (typical adult step)</li>
  <li><strong>Operating voltage:</strong> 24 VDC (via zone controller)</li>
  <li><strong>Cable:</strong> 20-ft 4-wire cord included</li>
  <li><strong>Surface:</strong> Slip-resistant, oil/coolant-resistant compound</li>
  <li><strong>Edging:</strong> Standard yellow ramp edges (4 sides)</li>
  <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13856-1</li>
</ul>
<h4>Required accessories</h4>
<p>Requires a <strong>safety mat zone controller</strong> for use. Single-mat controllers and multi-zone controllers (1-4 and 1-8 mat) available — <a href=""/contact"">contact us</a> to bundle with your order. Junction boxes also available for installations of 2-10 mats.</p>
<p><em>Custom sizes available on request — we publish these 12 as our stocked sizes for fast fulfillment.</em></p>
",Ferndale,,Safety Mat,"Safety Mats, SM-30x48, Ferndale, Pressure Mat",TRUE,Title,Default Title,,,,,SM-30x48,10000,shopify,0,continue,manual,895.00,,TRUE,TRUE,,,,,FALSE,"Pressure-Sensitive Safety Mat — 30"" × 48"" | Guardomation","30"" × 48"" pressure-sensitive safety mat for robot cells, presses, and access points. ANSI B11.19 / ISO 13856-1 compliant. Stocked size, ships from Guardomation.",,active
safety-mat-36x36,"Pressure-Sensitive Safety Mat — 36"" × 36""","
<h3>Pressure-sensitive safety mat — fixed published sizing.</h3>
<p>Detects operator presence in the danger zone. Pressure on the mat surface triggers an immediate machine stop signal. Used for robot cell perimeters, press operator stations, conveyor in/feed zones, and machine access points.</p>
<h4>Specifications</h4>
<ul>
  <li><strong>Active area:</strong> 36"" × 36""</li>
  <li><strong>Activation force:</strong> ~70 lbs (typical adult step)</li>
  <li><strong>Operating voltage:</strong> 24 VDC (via zone controller)</li>
  <li><strong>Cable:</strong> 20-ft 4-wire cord included</li>
  <li><strong>Surface:</strong> Slip-resistant, oil/coolant-resistant compound</li>
  <li><strong>Edging:</strong> Standard yellow ramp edges (4 sides)</li>
  <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13856-1</li>
</ul>
<h4>Required accessories</h4>
<p>Requires a <strong>safety mat zone controller</strong> for use. Single-mat controllers and multi-zone controllers (1-4 and 1-8 mat) available — <a href=""/contact"">contact us</a> to bundle with your order. Junction boxes also available for installations of 2-10 mats.</p>
<p><em>Custom sizes available on request — we publish these 12 as our stocked sizes for fast fulfillment.</em></p>
",Ferndale,,Safety Mat,"Safety Mats, SM-36x36, Ferndale, Pressure Mat",TRUE,Title,Default Title,,,,,SM-36x36,10000,shopify,0,continue,manual,895.00,,TRUE,TRUE,,,,,FALSE,"Pressure-Sensitive Safety Mat — 36"" × 36"" | Guardomation","36"" × 36"" pressure-sensitive safety mat for robot cells, presses, and access points. ANSI B11.19 / ISO 13856-1 compliant. Stocked size, ships from Guardomation.",,active
safety-mat-36x48,"Pressure-Sensitive Safety Mat — 36"" × 48""","
<h3>Pressure-sensitive safety mat — fixed published sizing.</h3>
<p>Detects operator presence in the danger zone. Pressure on the mat surface triggers an immediate machine stop signal. Used for robot cell perimeters, press operator stations, conveyor in/feed zones, and machine access points.</p>
<h4>Specifications</h4>
<ul>
  <li><strong>Active area:</strong> 36"" × 48""</li>
  <li><strong>Activation force:</strong> ~70 lbs (typical adult step)</li>
  <li><strong>Operating voltage:</strong> 24 VDC (via zone controller)</li>
  <li><strong>Cable:</strong> 20-ft 4-wire cord included</li>
  <li><strong>Surface:</strong> Slip-resistant, oil/coolant-resistant compound</li>
  <li><strong>Edging:</strong> Standard yellow ramp edges (4 sides)</li>
  <li><strong>Compliance:</strong> ANSI B11.19, OSHA 1910.212, ISO 13856-1</li>
</ul>
<h4>Required accessories</h4>
<p>Requires a <strong>safety mat zone controller</strong> for use. Single-mat controllers and multi-zone controllers (1-4 and 1-8 mat) available — <a href=""/contact"">contact us</a> to bundle with your order. Junction boxes also available for installations of 2-10 mats.</p>
<p><em>Custom sizes available on request — we publish these 12 as our stocked sizes for fast fulfillment.</em></p>
",Ferndale,,Safety Mat,"Safety Mats, SM-36x48, Ferndale, Pressure Mat",TRUE,Title,Default Title,,,,,SM-36x48,12000,shopify,0,continue,manual,995.00,,TRUE,TRUE,,,,,FALSE,"Pressure-Sensitive Safety Mat — 36"" × 48"" | Guardomation","36"" × 48"" pressure-sensitive safety mat for robot cells, presses, and access points. ANSI B11.19 / ISO 13856-1 compliant. Stocked size, ships from Guardomation.",,active
