Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Status
13464-flexbar-vertical-band-saw-guard,13464 Flexbar Vertical Band Saw Guard,,Flexbar,,,"13464-FLEXBAR-VERTICAL-BAND-SAW-GUARD, Flexbar",TRUE,Title,Default Title,,,,,13464-FLEXBAR-VERTICAL-BAND-SAW-GUARD,0,shopify,1,deny,manual,174.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2022/05/Flexbar-Band-Saw-Guard.webp,1,13464 Flexbar Vertical Band Saw Guard,FALSE,13464 Flexbar Vertical Band Saw Guard | Guardomation,13464 Flexbar Vertical Band Saw Guard from Guardomation — U.S. Master Distributor for Lazer Safe.,,active
dpg-2-drill-press-guard-for-up-to-18-throat,"DPG-2 Drill Press Guard for up to 18"" throat",,Guardomation / ATS Safety,,,"Guardomation / ATS Safety, DPG-2",TRUE,Title,Default Title,,,,,DPG-2,0,shopify,1,deny,manual,585.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2022/04/DPG-2-UP-TO-18-THROAT.jpg,1,"DPG-2 Drill Press Guard for up to 18"" throat",FALSE,"DPG-2 Drill Press Guard for up to 18"" throat | Guardomation","DPG-2 Drill Press Guard for up to 18"" throat from Guardomation — U.S. Master Distributor for Lazer Safe.",,active
dpg-es1-econ-series-drill-guard-for-2-to-4-column-diameter,"DPG-ES1 Econ Series Drill Guard for 2"" to 4"" column diameter",,Guardomation / ATS Safety,,,"Guardomation / ATS Safety, DPG-ES1",TRUE,Title,Default Title,,,,,DPG-ES1,0,shopify,1,deny,manual,249.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2022/04/DPG-ES1-scaled.jpg,1,"DPG-ES1 Econ Series Drill Guard for 2"" to 4"" column diameter",FALSE,"DPG-ES1 Econ Series Drill Guard for 2"" to 4"" column diameter | Guardomation","DPG-ES1 Econ Series Drill Guard for 2"" to 4"" column diameter from Guardomation — U.S. Master Distributor for Lazer Safe.",,active
dpg-es2-large-version-for-4-6-column-diameters,"DPG-ES2 LARGE VERSION FOR 4"" - 6"" COLUMN DIAMETERS",,Guardomation / ATS Safety,,,"Guardomation / ATS Safety, DPG-ES2",TRUE,Title,Default Title,,,,,DPG-ES2,0,shopify,1,deny,manual,275.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2022/04/DPG-ES2-scaled.jpg,1,"DPG-ES2 LARGE VERSION FOR 4"" - 6"" COLUMN DIAMETERS",FALSE,"DPG-ES2 LARGE VERSION FOR 4"" - 6"" COLUMN DIAMETERS | Guardomation","DPG-ES2 LARGE VERSION FOR 4"" - 6"" COLUMN DIAMETERS from Guardomation — U.S. Master Distributor for Lazer Safe.",,active
gemco-ametek-1999semc-portable-stop-time-meter,Gemco Ametek 1999SEMC PORTABLE STOP TIME METER,,Gemco / Ametek,,,"GEMCO-AMETEK-1999SEMC-PORTABLE-STOP-TIME-METER, Gemco / Ametek",TRUE,Title,Default Title,,,,,GEMCO-AMETEK-1999SEMC-PORTABLE-STOP-TIME-METER,0,shopify,1,deny,manual,8367.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2022/04/1999-series-safetimeter_210x225.jpg,1,Gemco Ametek 1999SEMC PORTABLE STOP TIME METER,FALSE,Gemco Ametek 1999SEMC PORTABLE STOP TIME METER | Guardomation,Gemco Ametek 1999SEMC PORTABLE STOP TIME METER from Guardomation — U.S. Master Distributor for Lazer Safe.,,active
gs-100,GS-100,,Guardomation,,,"GS-100, Guardomation",TRUE,Title,Default Title,,,,,GS-100,0,shopify,1,deny,manual,115.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2021/09/1998-scaled.jpg,1,GS-100,FALSE,GS-100 | Guardomation,GS-100 from Guardomation — U.S. Master Distributor for Lazer Safe.,,active
gs-101,GS-101,,Guardomation,,,"GS-101, Guardomation",TRUE,Title,Default Title,,,,,GS-101,0,shopify,1,deny,manual,115.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2021/09/1997-scaled.jpg,1,GS-101,FALSE,GS-101 | Guardomation,GS-101 from Guardomation — U.S. Master Distributor for Lazer Safe.,,active
gs-102,"GS-103 Anti-Restart Device (IN LINE) Rated 200 to 240-volt A.C., 15-amp (single-phase) 2 H.P. maximum, 50/60 cycle.",,Guardomation,,,"GS-103, Guardomation",FALSE,Title,Default Title,,,,,GS-103,0,shopify,0,deny,manual,115.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2021/09/1999-scaled.jpg,1,"GS-103 Anti-Restart Device (IN LINE) Rated 200 to 240-volt A.C., 15-amp (single-phase) 2 H.P. maximum, 50/60 cycle.",FALSE,"GS-103 Anti-Restart Device (IN LINE) Rated 200 to 240-volt A.C., 15-amp (single-phase) 2 H.P. maximum, 50/60 cycle. | Guardomation","GS-103 Anti-Restart Device (IN LINE) Rated 200 to 240-volt A.C., 15-amp (single-phase) 2 H.P. maximum, 50/60 cycle. from Guardomation — U.S. Master Distributor for Lazer Safe.",,draft
gs-102-2,GS-102,,Guardomation,,,"GS-102, Guardomation",TRUE,Title,Default Title,,,,,GS-102,0,shopify,1,deny,manual,115.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2021/09/1996-scaled.jpg,1,GS-102,FALSE,GS-102 | Guardomation,GS-102 from Guardomation — U.S. Master Distributor for Lazer Safe.,,active
gs-104-15,GS-104-15  15 Amp Anti Restart Device for 110 Volt Machinery (PLUG & PLAY),,Guardomation,,,"GS-104-15, Guardomation",TRUE,Title,Default Title,,,,,GS-104-15,0,shopify,1,deny,manual,400.00,,TRUE,TRUE,,https://guardomation.com/wp-content/uploads/2021/09/GS-104-15-3-1-scaled-1.png,1,GS-104-15  15 Amp Anti Restart Device for 110 Volt Machinery (PLUG & PLAY),FALSE,GS-104-15  15 Amp Anti Restart Device for 110 Volt Machinery (PLUG & PLAY) | Guardomation,GS-104-15  15 Amp Anti Restart Device for 110 Volt Machinery (PLUG & PLAY) from Guardomation — U.S. Master Distributor for Lazer Safe.,,active
